"","bio_var","Class1","Class2","Class3"
"805","OG0000975",NA,NA,NA
"806","OG0000976",NA,NA,NA
"807","OG0000977",NA,NA,NA
"808","OG0000978",NA,NA,NA
"809","OG0000979",NA,NA,NA
"811","OG0000981",NA,NA,NA
"812","OG0000982",NA,NA,NA
"813","OG0000986",NA,NA,NA
"814","OG0000987",NA,NA,NA
"816","OG0000989",NA,NA,NA
"818","OG0000991",NA,NA,NA
"819","OG0000992",NA,NA,NA
"820","OG0000993",NA,NA,NA
"821","OG0000994",NA,NA,NA
"822","OG0001005",NA,NA,NA
"823","OG0001007",NA,NA,NA
"824","OG0001008",NA,NA,NA
"825","OG0001009",NA,NA,NA
"826","OG0001010",NA,NA,NA
"827","OG0001011",NA,NA,NA
"828","OG0001012",NA,NA,NA
"831","OG0001017","TF","G2-like",NA
"832","OG0001018",NA,NA,NA
"833","OG0001019",NA,NA,NA
"834","OG0001020",NA,NA,NA
"835","OG0001021",NA,NA,NA
"837","OG0001023",NA,NA,NA
"842","OG0001028",NA,NA,NA
"843","OG0001029",NA,NA,NA
"844","OG0001030",NA,NA,NA
"845","OG0001031",NA,NA,NA
"846","OG0001033",NA,NA,NA
"848","OG0001035",NA,NA,NA
"849","OG0001036",NA,NA,NA
"851","OG0001038",NA,NA,NA
"852","OG0001039",NA,NA,NA
"853","OG0001040",NA,NA,NA
"854","OG0001041",NA,NA,NA
"857","OG0001045",NA,NA,NA
"858","OG0001046",NA,NA,NA
"859","OG0001047",NA,NA,NA
"860","OG0001048",NA,NA,NA
"861","OG0001049","photosynthesis","photorespiration",NA
"862","OG0001050",NA,NA,NA
"863","OG0001051",NA,NA,NA
"864","OG0001052",NA,NA,NA
"865","OG0001053",NA,NA,NA
"866","OG0001054",NA,NA,NA
"867","OG0001055",NA,NA,NA
"868","OG0001056",NA,NA,NA
"869","OG0001057",NA,NA,NA
"870","OG0001058",NA,NA,NA
"871","OG0001059",NA,NA,NA
"872","OG0001060",NA,NA,NA
"873","OG0001061",NA,NA,NA
"874","OG0001062",NA,NA,NA
"875","OG0001063","TF","ERF",NA
"876","OG0001064",NA,NA,NA
"878","OG0001066",NA,NA,NA
"879","OG0001067",NA,NA,NA
"880","OG0001068",NA,NA,NA
"881","OG0001069",NA,NA,NA
